provincia;regione
CH;Abruzzo
AQ;Abruzzo
PE;Abruzzo
TE;Abruzzo
MT;Basilicata
PZ;Basilicata
CZ;Calabria
CS;Calabria
KR;Calabria
RC;Calabria
VV;Calabria
AV;Campania
BN;Campania
CE;Campania
NA;Campania
SA;Campania
BO;Emilia-Romagna
FE;Emilia-Romagna
FC;Emilia-Romagna
MO;Emilia-Romagna
PR;Emilia-Romagna
RA;Emilia-Romagna
PC;Emilia-Romagna
RE;Emilia-Romagna
RN;Emilia-Romagna
GO;Friuli-Venezia Giulia
PN;Friuli-Venezia Giulia
TS;Friuli-Venezia Giulia
UD;Friuli-Venezia Giulia
FR;Lazio
LT;Lazio
RI;Lazio
RM;Lazio
VT;Lazio
GE;Liguria
IM;Liguria
SP;Liguria
SV;Liguria
BG;Lombardia
BS;Lombardia
CO;Lombardia
CR;Lombardia
LC;Lombardia
LO;Lombardia
MN;Lombardia
MI;Lombardia
MB;Lombardia
PV;Lombardia
SO;Lombardia
VA;Lombardia
AN;Marche
AP;Marche
FM;Marche
MC;Marche
PU;Marche
CB;Molise
IS;Molise
AL;Piemonte
AT;Piemonte
BI;Piemonte
CN;Piemonte
NO;Piemonte
TO;Piemonte
VB;Piemonte
VC;Piemonte
BA;Puglia
BT;Puglia
BR;Puglia
FG;Puglia
LE;Puglia
TA;Puglia
CA;Sardegna
NU;Sardegna
OR;Sardegna
SS;Sardegna
VS;Sardegna
OG;Sardegna
CI;Sardegna
SU;Sardegna
AG;Sicilia
CL;Sicilia
CT;Sicilia
EN;Sicilia
ME;Sicilia
RG;Sicilia
PA;Sicilia
SR;Sicilia
TP;Sicilia
AR;Toscana
FI;Toscana
GR;Toscana
LI;Toscana
LU;Toscana
MS;Toscana
PI;Toscana
PT;Toscana
PO;Toscana
SI;Toscana
BZ;Trentino-Alto Adige
TN;Trentino-Alto Adige
PG;Umbria
TR;Umbria
AO;Valle d'Aosta
BL;Veneto
PD;Veneto
RO;Veneto
TV;Veneto
VE;Veneto
VR;Veneto
VI;Veneto
